vi	V(N005,N002)	I(Rd)
2.036999999999974e+00	-2.924248e+00	1.937622e-04
2.037999999999974e+00	-2.922492e+00	1.975415e-04
2.038999999999974e+00	-2.920722e+00	2.013931e-04
2.039999999999974e+00	-2.918936e+00	2.053185e-04
2.040999999999974e+00	-2.917136e+00	2.093190e-04
2.041999999999974e+00	-2.915321e+00	2.133961e-04
2.042999999999974e+00	-2.913490e+00	2.175510e-04
2.043999999999973e+00	-2.911643e+00	2.217854e-04
2.044999999999973e+00	-2.909780e+00	2.261007e-04
2.045999999999973e+00	-2.907900e+00	2.304984e-04
2.046999999999973e+00	-2.906004e+00	2.349799e-04
2.047999999999973e+00	-2.904091e+00	2.395469e-04
2.048999999999973e+00	-2.902160e+00	2.442009e-04
2.049999999999973e+00	-2.900211e+00	2.489436e-04
2.050999999999973e+00	-2.898244e+00	2.537766e-04
2.051999999999973e+00	-2.896260e+00	2.587015e-04
2.052999999999972e+00	-2.894256e+00	2.637201e-04
2.053999999999972e+00	-2.892233e+00	2.688340e-04
2.054999999999972e+00	-2.890191e+00	2.740450e-04
2.055999999999972e+00	-2.888129e+00	2.793550e-04
2.056999999999972e+00	-2.886047e+00	2.847656e-04
2.057999999999972e+00	-2.883944e+00	2.902789e-04
2.058999999999972e+00	-2.881821e+00	2.958966e-04
2.059999999999972e+00	-2.879676e+00	3.016207e-04
2.060999999999972e+00	-2.877509e+00	3.074531e-04
2.061999999999971e+00	-2.875321e+00	3.133958e-04
2.062999999999971e+00	-2.873110e+00	3.194508e-04
2.063999999999971e+00	-2.870876e+00	3.256202e-04
2.064999999999971e+00	-2.868619e+00	3.319060e-04
2.065999999999971e+00	-2.866338e+00	3.383104e-04
2.066999999999971e+00	-2.864033e+00	3.448356e-04
2.067999999999971e+00	-2.861703e+00	3.514836e-04
2.068999999999971e+00	-2.859349e+00	3.582568e-04
2.069999999999971e+00	-2.856969e+00	3.651574e-04
2.070999999999970e+00	-2.854562e+00	3.721878e-04
2.071999999999970e+00	-2.852130e+00	3.793502e-04
2.072999999999970e+00	-2.849670e+00	3.866472e-04
2.073999999999970e+00	-2.847184e+00	3.940810e-04
2.074999999999970e+00	-2.844669e+00	4.016542e-04
2.075999999999970e+00	-2.842126e+00	4.093693e-04
2.076999999999970e+00	-2.839555e+00	4.172288e-04
2.077999999999970e+00	-2.836953e+00	4.252353e-04
2.078999999999970e+00	-2.834321e+00	4.333916e-04
2.079999999999969e+00	-2.831660e+00	4.417002e-04
2.080999999999969e+00	-2.828967e+00	4.501639e-04
2.081999999999969e+00	-2.826243e+00	4.587854e-04
2.082999999999969e+00	-2.823487e+00	4.675677e-04
2.083999999999969e+00	-2.820697e+00	4.765136e-04
2.084999999999969e+00	-2.817875e+00	4.856259e-04
2.085999999999969e+00	-2.815019e+00	4.949077e-04
2.086999999999969e+00	-2.812128e+00	5.043619e-04
2.087999999999969e+00	-2.809201e+00	5.139917e-04
