vi	V(n002)	I(Rd)
2.011999999999977e+00	4.976137e+00	1.193154e-04
2.012999999999977e+00	4.975668e+00	1.216602e-04
2.013999999999977e+00	4.975190e+00	1.240503e-04
2.014999999999977e+00	4.974703e+00	1.264868e-04
2.015999999999976e+00	4.974206e+00	1.289705e-04
2.016999999999976e+00	4.973700e+00	1.315022e-04
2.017999999999976e+00	4.973184e+00	1.340829e-04
2.018999999999976e+00	4.972657e+00	1.367135e-04
2.019999999999976e+00	4.972121e+00	1.393950e-04
2.020999999999976e+00	4.971574e+00	1.421283e-04
2.021999999999976e+00	4.971017e+00	1.449143e-04
2.022999999999976e+00	4.970449e+00	1.477542e-04
2.023999999999976e+00	4.969870e+00	1.506488e-04
2.024999999999975e+00	4.969280e+00	1.535993e-04
2.025999999999975e+00	4.968678e+00	1.566066e-04
2.026999999999975e+00	4.968066e+00	1.596720e-04
2.027999999999975e+00	4.967441e+00	1.627963e-04
2.028999999999975e+00	4.966804e+00	1.659808e-04
2.029999999999975e+00	4.966155e+00	1.692266e-04
2.030999999999975e+00	4.965493e+00	1.725348e-04
2.031999999999975e+00	4.964818e+00	1.759067e-04
2.032999999999975e+00	4.964131e+00	1.793433e-04
2.033999999999974e+00	4.963431e+00	1.828459e-04
2.034999999999974e+00	4.962717e+00	1.864157e-04
2.035999999999974e+00	4.961989e+00	1.900541e-04
2.036999999999974e+00	4.961247e+00	1.937622e-04
2.037999999999974e+00	4.960492e+00	1.975415e-04
2.038999999999974e+00	4.959722e+00	2.013931e-04
2.039999999999974e+00	4.958936e+00	2.053185e-04
2.040999999999974e+00	4.958136e+00	2.093190e-04
2.041999999999974e+00	4.957321e+00	2.133961e-04
2.042999999999974e+00	4.956490e+00	2.175510e-04
2.043999999999973e+00	4.955643e+00	2.217854e-04
2.044999999999973e+00	4.954780e+00	2.261007e-04
2.045999999999973e+00	4.953900e+00	2.304984e-04
2.046999999999973e+00	4.953004e+00	2.349799e-04
2.047999999999973e+00	4.952091e+00	2.395469e-04
2.048999999999973e+00	4.951160e+00	2.442009e-04
2.049999999999973e+00	4.950211e+00	2.489436e-04
2.050999999999973e+00	4.949244e+00	2.537766e-04
2.051999999999973e+00	4.948260e+00	2.587015e-04
2.052999999999972e+00	4.947256e+00	2.637201e-04
2.053999999999972e+00	4.946233e+00	2.688340e-04
2.054999999999972e+00	4.945191e+00	2.740450e-04
2.055999999999972e+00	4.944129e+00	2.793550e-04
2.056999999999972e+00	4.943047e+00	2.847656e-04
2.057999999999972e+00	4.941944e+00	2.902789e-04
2.058999999999972e+00	4.940821e+00	2.958966e-04
2.059999999999972e+00	4.939676e+00	3.016207e-04
2.060999999999972e+00	4.938509e+00	3.074531e-04
2.061999999999971e+00	4.937321e+00	3.133958e-04
2.062999999999971e+00	4.936110e+00	3.194508e-04
2.063999999999971e+00	4.934876e+00	3.256202e-04
2.064999999999971e+00	4.933619e+00	3.319060e-04
2.065999999999971e+00	4.932338e+00	3.383104e-04
2.066999999999971e+00	4.931033e+00	3.448356e-04
2.067999999999971e+00	4.929703e+00	3.514836e-04
2.068999999999971e+00	4.928349e+00	3.582568e-04
2.069999999999971e+00	4.926969e+00	3.651574e-04
2.070999999999970e+00	4.925562e+00	3.721878e-04
2.071999999999970e+00	4.924130e+00	3.793502e-04
2.072999999999970e+00	4.922670e+00	3.866472e-04
2.073999999999970e+00	4.921184e+00	3.940810e-04
2.074999999999970e+00	4.919669e+00	4.016542e-04
2.075999999999970e+00	4.918126e+00	4.093693e-04
2.076999999999970e+00	4.916554e+00	4.172288e-04
2.077999999999970e+00	4.914953e+00	4.252353e-04
2.078999999999970e+00	4.913321e+00	4.333916e-04
2.079999999999969e+00	4.911660e+00	4.417002e-04
2.080999999999969e+00	4.909967e+00	4.501639e-04
2.081999999999969e+00	4.908243e+00	4.587854e-04
2.082999999999969e+00	4.906487e+00	4.675677e-04
2.083999999999969e+00	4.904697e+00	4.765136e-04
2.084999999999969e+00	4.902875e+00	4.856259e-04
2.085999999999969e+00	4.901019e+00	4.949077e-04
2.086999999999969e+00	4.899127e+00	5.043619e-04
2.087999999999969e+00	4.897202e+00	5.139917e-04
2.088999999999968e+00	4.895240e+00	5.238001e-04
2.089999999999968e+00	4.893242e+00	5.337904e-04
2.090999999999968e+00	4.891207e+00	5.439657e-04
2.091999999999968e+00	4.889134e+00	5.543294e-04
2.092999999999968e+00	4.887023e+00	5.648846e-04
2.093999999999968e+00	4.884873e+00	5.756349e-04
2.094999999999968e+00	4.882683e+00	5.865837e-04
2.095999999999968e+00	4.880453e+00	5.977345e-04
2.096999999999968e+00	4.878182e+00	6.090907e-04
2.097999999999967e+00	4.875869e+00	6.206560e-04
2.098999999999967e+00	4.873513e+00	6.324342e-04
2.099999999999967e+00	4.871114e+00	6.444288e-04
2.100999999999967e+00	4.868671e+00	6.566438e-04
2.101999999999967e+00	4.866183e+00	6.690828e-04
2.102999999999967e+00	4.863650e+00	6.817500e-04
2.103999999999967e+00	4.861070e+00	6.946491e-04
2.104999999999967e+00	4.858443e+00	7.077843e-04
2.105999999999967e+00	4.855768e+00	7.211596e-04
2.106999999999966e+00	4.853044e+00	7.347793e-04
2.107999999999966e+00	4.850270e+00	7.486474e-04
2.108999999999966e+00	4.847446e+00	7.627685e-04
2.109999999999966e+00	4.844571e+00	7.771467e-04
2.110999999999966e+00	4.841643e+00	7.917866e-04
2.111999999999966e+00	4.838662e+00	8.066926e-04
2.112999999999966e+00	4.835626e+00	8.218694e-04
2.113999999999966e+00	4.832536e+00	8.373215e-04
2.114999999999966e+00	4.829389e+00	8.530536e-04
2.115999999999965e+00	4.826186e+00	8.690707e-04
2.116999999999965e+00	4.822925e+00	8.853775e-04
2.117999999999965e+00	4.819604e+00	9.019789e-04
2.118999999999965e+00	4.816224e+00	9.188800e-04
2.119999999999965e+00	4.812783e+00	9.360860e-04
2.120999999999965e+00	4.809279e+00	9.536018e-04
2.121999999999965e+00	4.805713e+00	9.714329e-04
2.122999999999965e+00	4.802083e+00	9.895846e-04
2.123999999999965e+00	4.798388e+00	1.008062e-03
2.124999999999964e+00	4.794626e+00	1.026871e-03
2.125999999999964e+00	4.790797e+00	1.046017e-03
2.126999999999964e+00	4.786899e+00	1.065506e-03
2.127999999999964e+00	4.782931e+00	1.085343e-03
2.128999999999964e+00	4.778893e+00	1.105534e-03
2.129999999999964e+00	4.774783e+00	1.126086e-03
2.130999999999964e+00	4.770599e+00	1.147004e-03
2.131999999999964e+00	4.766341e+00	1.168294e-03
2.132999999999964e+00	4.762008e+00	1.189962e-03
2.133999999999963e+00	4.757597e+00	1.212016e-03
2.134999999999963e+00	4.753108e+00	1.234460e-03
2.135999999999963e+00	4.748539e+00	1.257302e-03
2.136999999999963e+00	4.743890e+00	1.280549e-03
